wavenumber	intensity
600	0.243536166666667
602	0.2339965
604	0.162753
606	0.0819843333333333
608	0.030358
610	0.0102726666666667
612	0.0042785
614	0.001011
616	0.000978166666666667
618	0.002899
620	0.0024945
622	0.000895833333333333
624	0.00179083333333333
626	0.004884
628	0.00697933333333333
630	0.00612516666666667
632	0.004527
634	0.00496466666666667
636	0.00724566666666667
638	0.0086645
640	0.007061
642	0.00466983333333333
644	0.00460016666666667
646	0.00641333333333333
648	0.00759333333333333
650	0.00806966666666667
652	0.00958933333333333
654	0.0112523333333333
656	0.0106605
658	0.00836933333333333
660	0.00710766666666667
662	0.00765933333333333
664	0.00887733333333333
666	0.0106096666666667
668	0.0126133333333333
670	0.0136928333333333
672	0.013551
674	0.013592
676	0.0138245
678	0.0124896666666667
680	0.0107833333333333
682	0.0117595
684	0.0148178333333333
686	0.0168546666666667
688	0.0173915
690	0.0170908333333333
692	0.0166876666666667
694	0.0175563333333333
696	0.018733
698	0.0184286666666667
700	0.0176186666666667
702	0.0178108333333333
704	0.0184231666666667
706	0.0193225
708	0.0204195
710	0.0203891666666667
712	0.0191236666666667
714	0.0177485
716	0.0162438333333333
718	0.0143106666666667
720	0.0132265
722	0.0140618333333333
724	0.015096
726	0.0144616666666667
728	0.0131858333333333
730	0.014128
732	0.0171776666666667
734	0.018807
736	0.0178798333333333
738	0.0169243333333333
740	0.0183598333333333
742	0.020796
744	0.0221766666666667
746	0.0231433333333333
748	0.0249775
750	0.0273301666666667
752	0.0293701666666667
754	0.0312468333333333
756	0.0325881666666667
758	0.0328483333333333
760	0.0326198333333333
762	0.0325438333333333
764	0.03336
766	0.0364525
768	0.0420806666666667
770	0.0496305
772	0.0595105
774	0.072255
776	0.090975
778	0.126939666666667
780	0.204485833333333
782	0.337924166666667
784	0.509977666666667
786	0.675955666666667
788	0.805030333333333
790	0.902377833333333
792	0.959396666666667
794	0.932537
796	0.784064833333333
798	0.5587425
800	0.351489
802	0.219936833333333
804	0.155530666666667
806	0.126408333333333
808	0.111501666666667
810	0.0970965
812	0.0835878333333333
814	0.075858
816	0.070973
818	0.0636788333333333
820	0.0560168333333333
822	0.0511316666666667
824	0.0483671666666667
826	0.0452013333333333
828	0.0409073333333333
830	0.0374813333333333
832	0.0358956666666667
834	0.0349791666666667
836	0.0324591666666667
838	0.0285543333333333
840	0.026114
842	0.0261485
844	0.0267931666666667
846	0.0263938333333333
848	0.0248468333333333
850	0.021907
852	0.0180791666666667
854	0.0162231666666667
856	0.0180061666666667
858	0.0200176666666667
860	0.0191983333333333
862	0.0172873333333333
864	0.017445
866	0.0190663333333333
868	0.0206323333333333
870	0.0218388333333333
872	0.0227605
874	0.0236325
876	0.0244683333333333
878	0.025435
880	0.027275
882	0.03077
884	0.0346448333333333
886	0.0358035
888	0.035798
890	0.0383755
892	0.0417421666666667
894	0.0415233333333333
896	0.039111
898	0.0392328333333333
900	0.0405685
902	0.0389126666666667
904	0.0332111666666667
906	0.0263653333333333
908	0.0212123333333333
910	0.018713
